jitter_duration,background_color,regulate_or_look,image_file
1.0111,#0000ff,REGULATE,Resources/tobacco_0126.jpg
0.8847,#00cd00,LOOK,Resources/healthy72.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0487.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0488.jpg
0.8847,#00cd00,LOOK,Resources/healthy86.jpg
1.5167,#00cd00,LOOK,Resources/healthy110.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0256.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0546.jpg
1.0111,#00cd00,LOOK,Resources/healthy48.jpg
1.0111,#00cd00,LOOK,Resources/healthy29.jpg
0.7583,#0000ff,REGULATE,Resources/tobacco_0454.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0170.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0546.jpg
0.8847,#00cd00,LOOK,Resources/healthy70.jpg
1.2639,#00cd00,LOOK,Resources/healthy73.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0037.jpg
0.8847,#00cd00,LOOK,Resources/healthy113.jpg
0.7583,#00cd00,LOOK,Resources/healthy48.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0102.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0147.jpg
